event_name,event_date,event_location,event_details_url,weight_class,fight_stats_page_url,header_fighter_a_name,header_fighter_a_nickname,header_fighter_a_outcome,header_fighter_b_name,header_fighter_b_nickname,header_fighter_b_outcome,header_winner_name,header_round_detailed,header_time_detailed,header_time_format_detailed,header_referee_detailed,header_finish_details_detailed,fighter_a_per_round_totals_json,fighter_a_per_round_sig_strikes_json,fighter_a_kd,fighter_a_sig_str_landed,fighter_a_sig_str_attempted,fighter_a_sig_str_pct,fighter_a_total_str_landed,fighter_a_total_str_attempted,fighter_a_td_landed,fighter_a_td_attempted,fighter_a_td_pct,fighter_a_sub_att,fighter_a_rev,fighter_a_ctrl_time_seconds,fighter_a_sig_strikes_head_landed,fighter_a_sig_strikes_head_attempted,fighter_a_sig_strikes_body_landed,fighter_a_sig_strikes_body_attempted,fighter_a_sig_strikes_leg_landed,fighter_a_sig_strikes_leg_attempted,fighter_a_sig_strikes_distance_landed,fighter_a_sig_strikes_distance_attempted,fighter_a_sig_strikes_clinch_landed,fighter_a_sig_strikes_clinch_attempted,fighter_a_sig_strikes_ground_landed,fighter_a_sig_strikes_ground_attempted,fighter_b_per_round_totals_json,fighter_b_per_round_sig_strikes_json,fighter_b_kd,fighter_b_sig_str_landed,fighter_b_sig_str_attempted,fighter_b_sig_str_pct,fighter_b_total_str_landed,fighter_b_total_str_attempted,fighter_b_td_landed,fighter_b_td_attempted,fighter_b_td_pct,fighter_b_sub_att,fighter_b_rev,fighter_b_ctrl_time_seconds,fighter_b_sig_strikes_head_landed,fighter_b_sig_strikes_head_attempted,fighter_b_sig_strikes_body_landed,fighter_b_sig_strikes_body_attempted,fighter_b_sig_strikes_leg_landed,fighter_b_sig_strikes_leg_attempted,fighter_b_sig_strikes_distance_landed,fighter_b_sig_strikes_distance_attempted,fighter_b_sig_strikes_clinch_landed,fighter_b_sig_strikes_clinch_attempted,fighter_b_sig_strikes_ground_landed,fighter_b_sig_strikes_ground_attempted,event_date_iso,FightID_generated
UFC Fight Night: Ankalaev vs. Walker 2,"January 13, 2024","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/010986ee359fb863,Featherweight,http://ufcstats.com/fight-details/0494ebcee93e717b,Westin Wilson,,L,Jean Silva,"""Lord""",W,Jean Silva,1,4:12,3 Rnd (5-5-5),Marc Goddard,Punch to Head In Clinch,[],[],0,11,36,0.3,11,36,0,3,0.0,0,0,4,8,28,0,5,3,3,11,35,0,1,0,0,[],[],1,25,36,0.69,25,36,1,1,1.0,0,0,8,24,32,1,4,0,0,23,34,2,2,0,0,2024-01-13T00:00:00,0494ebcee93e717b
UFC Fight Night: Ankalaev vs. Walker 2,"January 13, 2024","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/010986ee359fb863,Lightweight,http://ufcstats.com/fight-details/5344e76e26503716,Nikolas Motta,"""Iron""",W,Tom Nolan,"""Big Train""",L,Nikolas Motta,1,1:03,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head On Ground,[],[],1,21,40,0.52,21,40,0,0,0.0,0,0,9,19,35,2,5,0,0,8,19,0,1,13,20,[],[],0,12,20,0.6,12,20,0,0,0.0,0,0,0,5,13,5,5,2,2,11,18,1,2,0,0,2024-01-13T00:00:00,5344e76e26503716
UFC Fight Night: Ankalaev vs. Walker 2,"January 13, 2024","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/010986ee359fb863,Flyweight,http://ufcstats.com/fight-details/fd29123ff92789e4,Joshua Van,"""The Fearless""",W,Felipe Bunes,"""Felipinho""",L,Joshua Van,2,4:31,3 Rnd (5-5-5),Mark Smith,Punches to Head From Guard,[],[],1,83,141,0.58,154,222,1,1,1.0,0,0,74,63,116,15,19,5,6,61,115,9,11,13,15,[],[],0,50,91,0.54,57,101,2,6,0.33,0,0,122,29,64,11,16,10,11,49,90,1,1,0,0,2024-01-13T00:00:00,fd29123ff92789e4
UFC 297: Strickland vs. Du Plessis,"January 20, 2024","Toronto, Ontario, Canada",http://ufcstats.com/event-details/bd85ca0bb4f26cfc,Middleweight,http://ufcstats.com/fight-details/14e53999507c76a7,Sean Strickland,,L,Dricus Du Plessis,"""Stillknocks""",W,Dricus Du Plessis,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,,[],[],0,173,408,0.42,183,419,0,0,0.0,0,0,0,157,387,10,15,6,6,173,408,0,0,0,0,[],[],0,137,354,0.38,140,358,6,11,0.54,0,0,128,81,283,32,37,24,34,134,348,3,5,0,1,2024-01-20T00:00:00,14e53999507c76a7
UFC 297: Strickland vs. Du Plessis,"January 20, 2024","Toronto, Ontario, Canada",http://ufcstats.com/event-details/bd85ca0bb4f26cfc,Women's Bantamweight,http://ufcstats.com/fight-details/faf15b752fb8924c,Raquel Pennington,"""Rocky""",W,Mayra Bueno Silva,"""Sheetara""",L,Raquel Pennington,5,5:00,5 Rnd (5-5-5-5-5),Jerin Valel,,[],[],0,134,201,0.66,265,342,1,3,0.33,2,2,688,91,156,32,34,11,11,54,110,38,43,42,48,[],[],0,69,88,0.78,96,118,3,9,0.33,3,0,538,32,44,26,30,11,14,28,45,38,40,3,3,2024-01-20T00:00:00,faf15b752fb8924c
UFC 297: Strickland vs. Du Plessis,"January 20, 2024","Toronto, Ontario, Canada",http://ufcstats.com/event-details/bd85ca0bb4f26cfc,Welterweight,http://ufcstats.com/fight-details/97817609ed46baa0,Neil Magny,"""The Haitian Sensation""",W,Mike Malott,"""Proper""",L,Neil Magny,3,4:45,3 Rnd (5-5-5),Kevin MacDonald,Punches to Head From Mount,[],[],0,57,102,0.55,110,159,1,2,0.5,0,0,107,52,95,3,3,2,4,13,44,0,2,44,56,[],[],0,45,67,0.67,100,128,4,6,0.66,0,0,362,19,40,4,4,22,23,30,49,0,0,15,18,2024-01-20T00:00:00,97817609ed46baa0
UFC 297: Strickland vs. Du Plessis,"January 20, 2024","Toronto, Ontario, Canada",http://ufcstats.com/event-details/bd85ca0bb4f26cfc,Middleweight,http://ufcstats.com/fight-details/ba5005d1116fa45f,Chris Curtis,"""Action-Man""",W,Marc-Andre Barriault,"""Powerbar""",L,Chris Curtis,3,5:00,3 Rnd (5-5-5),Todd Ronald Anderson,,[],[],0,140,258,0.54,144,262,0,0,0.0,0,0,0,101,210,35,44,4,4,116,230,24,28,0,0,[],[],0,122,243,0.5,124,245,0,0,0.0,0,0,0,77,189,33,42,12,12,105,218,17,25,0,0,2024-01-20T00:00:00,ba5005d1116fa45f
UFC 297: Strickland vs. Du Plessis,"January 20, 2024","Toronto, Ontario, Canada",http://ufcstats.com/event-details/bd85ca0bb4f26cfc,Featherweight,http://ufcstats.com/fight-details/1a7cd191f0cf160c,Arnold Allen,"""Almighty""",L,Movsar Evloev,,W,Movsar Evloev,3,5:00,3 Rnd (5-5-5),Marc Goddard,,[],[],0,59,140,0.42,61,143,0,0,0.0,1,0,3,41,115,17,24,1,1,46,124,9,12,4,4,[],[],0,51,118,0.43,72,141,5,17,0.29,0,0,211,35,101,12,13,4,4,45,110,5,7,1,1,2024-01-20T00:00:00,1a7cd191f0cf160c
UFC 297: Strickland vs. Du Plessis,"January 20, 2024","Toronto, Ontario, Canada",http://ufcstats.com/event-details/bd85ca0bb4f26cfc,Bantamweight,http://ufcstats.com/fight-details/670e4754d8d3d172,Brad Katona,"""Superman""",L,Garrett Armfield,,W,Garrett Armfield,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,,[],[],0,64,155,0.41,76,172,4,9,0.44,0,0,275,49,138,8,9,7,8,46,126,17,28,1,1,[],[],0,105,168,0.62,130,193,0,1,0.0,0,0,0,74,131,21,27,10,10,99,162,6,6,0,0,2024-01-20T00:00:00,670e4754d8d3d172
UFC 297: Strickland vs. Du Plessis,"January 20, 2024","Toronto, Ontario, Canada",http://ufcstats.com/event-details/bd85ca0bb4f26cfc,Featherweight,http://ufcstats.com/fight-details/331ddc1141e934d1,Charles Jourdain,"""Air""",L,Sean Woodson,"""The Sniper""",W,Sean Woodson,3,5:00,3 Rnd (5-5-5),Jerin Valel,,[],[],0,60,156,0.38,78,175,0,4,0.0,1,0,118,19,98,20,32,21,26,52,147,8,9,0,0,[],[],0,80,168,0.47,102,193,1,3,0.33,0,0,39,59,143,10,13,11,12,70,156,8,9,2,3,2024-01-20T00:00:00,331ddc1141e934d1
